City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,ushuaia,0,AR,1525140000,95,-54.81,-68.31,41.0,13.78
1,butaritari,88,KI,1525145655,100,3.07,172.79,83.16,11.43
2,coxim,12,BR,1525146140,76,-18.5,-54.75,72.18,2.59
3,atuona,0,PF,1525145746,99,-9.8,-139.03,81.72,16.02
4,cabo san lucas,5,MX,1525142880,53,22.89,-109.91,75.2,4.7
5,hilo,90,US,1525143360,88,19.71,-155.08,73.4,4.7
6,dunedin,20,NZ,1525145754,82,-45.87,170.5,56.43,9.19
7,luderitz,12,NA,1525145651,77,-26.65,15.16,59.22,3.49
8,barrow,32,AR,1525145640,88,-38.31,-60.23,40.59,2.71
9,waingapu,8,ID,1525145778,58,-9.65,120.26,85.5,7.52
10,sur,0,OM,1525145712,79,22.57,59.53,85.86,9.42
11,rondonopolis,24,BR,1525146142,81,-16.46,-54.64,72.09,2.48
12,bethel,75,US,1525143180,65,60.79,-161.76,41.0,26.4
13,kavaratti,24,IN,1525145773,100,10.57,72.64,85.32,4.05
14,paducah,1,US,1525144500,62,37.08,-88.6,59.0,10.2
15,taoudenni,0,ML,1525145663,21,22.68,-3.98,66.15,11.99
16,rikitea,80,PF,1525145650,100,-23.12,-134.97,78.03,2.71
17,carnarvon,0,ZA,1525145679,69,-30.97,22.13,39.33,6.51
18,college,90,US,1525143480,64,64.86,-147.8,41.0,10.29
19,guerrero negro,68,MX,1525145691,93,27.97,-114.04,58.05,11.43
20,punta arenas,40,CL,1525143600,86,-53.16,-70.91,33.8,5.82
21,kruisfontein,0,ZA,1525145644,92,-34.0,24.73,59.22,10.2
22,katangli,68,RU,1525146145,95,51.71,143.23,32.4,3.94
23,saint george,20,GR,1525143000,82,39.45,22.34,57.2,2.93
24,klaksvik,64,FO,1525143000,81,62.23,-6.59,44.6,25.28
25,yellowknife,40,CA,1525145040,51,62.45,-114.38,35.6,9.17
26,quatre cocos,75,MU,1525143600,65,-20.21,57.76,78.8,11.41
27,airai,12,TL,1525145752,47,-8.93,125.41,83.88,0.92
28,tabou,76,CI,1525146146,99,4.42,-7.36,82.62,8.41
29,katsuura,40,JP,1525143600,49,33.93,134.5,73.4,6.93
30,namatanai,36,PG,1525145717,100,-3.66,152.44,83.43,10.2
31,luganville,92,VU,1525146147,100,-15.51,167.18,76.14,9.08
32,mataura,92,NZ,1525145633,99,-46.19,168.86,52.56,17.81
33,san patricio,12,PY,1525145736,72,-26.98,-56.83,75.33,5.39
34,gaillac,92,FR,1525143600,93,43.9,1.9,46.4,9.17
35,faanui,8,PF,1525145797,100,-16.48,-151.75,82.8,12.66
36,tuktoyaktuk,75,CA,1525143600,80,69.44,-133.03,37.4,12.75
37,khatanga,76,RU,1525145643,100,71.98,102.47,21.6,18.03
38,cape town,0,ZA,1525143600,100,-33.93,18.42,46.4,1.12
39,whitehorse,75,CA,1525143600,39,60.72,-135.06,48.2,10.29
40,mar del plata,56,AR,1525145633,75,-46.43,-67.52,44.28,12.55
41,lavrentiya,44,RU,1525145758,100,65.58,-170.99,22.32,23.85
42,upernavik,0,GL,1525145672,95,72.79,-56.15,8.01,8.75
43,abbeyfeale,0,IE,1525143600,81,52.38,-9.3,42.8,10.29
44,qeshm,0,IR,1525143600,73,26.96,56.27,78.8,4.7
45,lompoc,75,US,1525143480,76,34.64,-120.46,51.8,8.05
46,hobart,0,AU,1525141800,37,-42.88,147.33,69.8,11.41
47,busselton,44,AU,1525145637,100,-33.64,115.35,64.62,13.78
48,avarua,40,CK,1525143600,78,-21.21,-159.78,80.6,6.93
49,albany,90,US,1525145040,87,42.65,-73.75,44.6,3.36
50,cap malheureux,75,MU,1525143600,65,-19.98,57.61,78.8,11.41
51,taltal,0,CL,1525146152,97,-25.41,-70.49,54.09,0.69
52,ayios nikolaos,40,GR,1525143000,68,38.42,23.65,64.4,6.93
53,east london,0,ZA,1525143600,76,-33.02,27.91,57.2,8.05
54,castro,92,CL,1525145714,100,-42.48,-73.76,44.73,3.49
55,cidreira,64,BR,1525145646,98,-30.17,-50.22,69.3,7.07
56,ust-nera,20,RU,1525146005,77,64.57,143.24,26.46,2.59
57,tasiilaq,0,GL,1525143000,67,65.61,-37.64,21.2,3.36
58,safakulevo,36,RU,1525146154,58,54.99,62.54,43.56,4.38
59,fortuna,20,ES,1525143600,62,38.18,-1.13,51.8,9.17
60,mahebourg,75,MU,1525143600,65,-20.41,57.7,78.8,11.41
61,kapaa,90,US,1525143360,73,22.08,-159.32,75.2,11.41
62,vaini,36,IN,1525145703,88,15.34,74.49,74.43,3.49
63,batagay,0,RU,1525146155,58,67.65,134.64,38.52,9.64
64,muleba,68,TZ,1525146156,100,-1.84,31.66,66.42,2.71
65,bend,40,US,1525144500,56,44.06,-121.32,46.4,6.93
66,dingle,36,PH,1525145633,65,11.0,122.67,88.2,11.43
67,kathmandu,40,NP,1525144800,72,27.71,85.32,68.0,4.7
68,labuhan,76,ID,1525145779,70,-2.54,115.51,85.59,3.38
69,ajdabiya,56,LY,1525145975,89,30.75,20.22,62.73,8.75
70,paragominas,92,BR,1525146157,97,-3.0,-47.35,73.26,4.16
71,avera,1,US,1525143300,87,33.19,-82.53,66.2,3.49
72,mackay,75,CA,1525143600,24,53.65,-115.58,57.2,19.46
73,baturaja,8,ID,1525145971,63,-4.12,104.17,88.92,6.06
74,bredasdorp,0,ZA,1525145657,100,-34.53,20.04,54.63,5.06
75,coahuayana,44,MX,1525145979,54,18.62,-100.35,73.62,2.59
76,adrar,0,DZ,1525143600,14,27.87,-0.29,69.8,10.29
77,talas,20,TR,1525143000,71,38.69,35.55,51.8,4.7
78,norman wells,75,CA,1525143600,48,65.28,-126.83,42.8,5.82
79,chokurdakh,0,RU,1525145645,100,70.62,147.9,20.16,7.07
80,yarim,64,YE,1525146160,89,14.3,44.38,53.91,2.15
81,kodiak,1,US,1525143180,43,39.95,-94.76,73.4,18.34
82,hermanus,8,ZA,1525145670,80,-34.42,19.24,39.6,3.49
83,lebu,92,ET,1525145672,98,8.96,38.73,50.49,2.59
84,necochea,88,AR,1525145723,87,-38.55,-58.74,49.23,4.38
85,aklavik,75,CA,1525143600,56,68.22,-135.01,44.6,8.05
86,geraldton,75,CA,1525143600,65,49.72,-86.95,46.4,6.93
87,palmer,0,AU,1525143600,23,-34.85,139.16,73.4,10.29
88,iqaluit,75,CA,1525145280,65,63.75,-68.52,8.6,9.17
89,hasanabad,90,IR,1525143600,87,35.37,51.24,51.8,17.22
90,mayya,0,RU,1525143600,20,61.74,130.28,44.6,4.47
91,awjilah,0,LY,1525146163,90,29.14,21.3,60.93,10.2
92,loma bonita,92,MX,1525146163,74,18.11,-95.88,82.35,2.48
93,puerto ayora,8,EC,1525145630,99,-0.74,-90.35,77.13,9.19
94,thompson,5,CA,1525143600,55,55.74,-97.86,35.6,3.36
95,uvelskiy,92,RU,1525146164,81,54.44,61.36,39.6,8.19
96,port hedland,0,AU,1525141800,62,-20.31,118.58,87.8,6.93
97,tomatlan,0,MX,1525145865,76,19.93,-105.25,72.45,2.71
98,tiksi,80,RU,1525145646,89,71.64,128.87,36.63,21.27
99,bluff,20,AU,1525145649,40,-23.58,149.07,80.55,11.54
100,cayenne,90,GF,1525143600,100,4.94,-52.33,75.2,6.17
